rand_point_id	fid	roi_id	macroclass_id	class_id	B2	B3	B4	B5	B6	B7	B8	B11	Longitud	Latitud
161	4	s20260528_110804284476_254	4	4	2730	2275	2362	2373	1429	1664	2084	2241	-4.411.872.165	-2.013.591.988
162	4	s20260528_110804284476_254	4	4	2829	2345	2440	2451	1501	1764	2132	2367	-4.411.997.170	-2.013.758.207
163	4	s20260528_110804284476_254	4	4	2241	1795	1841	1860	1322	1453	1662	1755	-4.412.049.147	-2.012.841.786
164	4	s20260528_110804284476_254	4	4	2617	2310	2402	2430	1437	1656	2104	2316	-4.414.420.362	-2.013.968.180
165	4	s20260528_110804284476_254	4	4	2913	2373	2475	2491	1494	1718	2170	2398	-4.414.444.053	-2.014.425.377
166	4	s20260528_110804284476_254	4	4	2589	2266	2246	2282	1499	1736	2240	2350	-4.412.496.016	-2.012.509.815
167	4	s20260528_110804284476_254	4	4	2919	2191	2331	2389	1522	1691	2096	2348	-4.413.743.038	-2.013.634.653
168	4	s20260528_110804284476_254	4	4	2540	2173	2255	2255	1590	1770	2130	2213	-4.411.623.126	-2.013.403.575
169	4	s20260528_110804284476_254	4	4	2550	2115	2172	2221	1447	1678	2001	2095	-4.411.809.492	-2.013.329.266
170	4	s20260528_110804284476_254	4	4	2332	1941	1994	1980	1449	1593	1835	1878	-4.411.897.449	-2.013.975.644
171	4	s20260528_110804284476_254	4	4	3013	2287	2427	2450	1526	1736	2156	2365	-4.414.450.686	-2.013.810.589
172	4	s20260528_110804284476_254	4	4	2604	2186	2331	2353	1288	1496	1982	2301	-4.411.959.038	-2.013.478.453
173	4	s20260528_110804284476_254	4	4	2829	2118	2243	2288	1412	1596	1980	2152	-4.413.752.791	-2.013.664.031
174	4	s20260528_110804284476_254	4	4	3066	2301	2433	2461	1391	1590	2036	2316	-4.414.333.943	-2.013.636.245
175	4	s20260528_110804284476_254	4	4	2432	2054	2096	2058	1457	1618	1966	2005	-4.412.029.799	-2.012.908.750
176	4	s20260528_110804284476_254	4	4	2605	2154	2225	2304	1411	1586	2014	2245	-4.412.048.995	-2.013.625.273
177	4	s20260528_110804284476_254	4	4	2463	1964	2004	2037	1312	1476	1720	1834	-4.412.267.772	-2.012.416.328
178	4	s20260528_110804284476_254	4	4	2412	2002	1992	1986	1375	1536	1764	1787	-4.412.330.564	-2.012.673.542
179	4	s20260528_110804284476_254	4	4	2293	1790	1846	1874	1302	1438	1670	1791	-4.412.087.319	-2.012.686.782
180	4	s20260528_110804284476_254	4	4	2311	2053	2071	2086	1392	1574	1884	2028	-4.412.576.726	-2.012.627.769
181	4	s20260528_110804284476_254	4	4	2674	2358	2424	2459	1472	1716	2132	2300	-4.412.024.169	-2.013.757.975
182	4	s20260528_110804284476_254	4	4	2901	2406	2519	2545	1562	1790	2216	2462	-4.413.416.183	-2.013.919.815
183	4	s20260528_110804284476_254	4	4	2290	1779	1828	1841	1286	1422	1664	1756	-4.412.060.441	-2.013.853.318
184	4	s20260528_110804284476_254	4	4	2860	2227	2360	2418	1438	1610	1954	2220	-4.413.323.376	-2.013.970.201
